UBUNTU LOCAL - QR SOLVER
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scpnrh1,43,67.2848862794,1.8103646898915629,90.8230902832,2.5283212484470257,5,5,0
scpnrh2,43,66.9668658202,0.6463551827575121,90.1389873534,0.6303232264002481,5,5,0
scpnrh3,44,68.6651425782,1.0376018744836244,91.7743742188,1.0641181265740574,5,5,0
scpnrh4,44,68.4668163576,0.380338620845108,91.4351105468,0.41565967244141905,5,5,0
scpnrh5,46,71.40164458,0.37632525038045767,94.39308320319999,0.4244362565277751,5,5,0
