UBUNTU LOCAL - QR SOLVER
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scpnre1,47,22.7506958496,0.16437232367730795,25.70360166,0.17083799202530237,5,5,0
scpnre2,47,22.8633495606,0.11544185188227153,25.8260273438,0.11441684156281101,5,5,0
scpnre3,48,23.4313858886,0.10680090722009408,26.4133209474,0.10505702639919073,5,5,0
scpnre4,48,23.3746151856,0.05881054600256163,26.375640967,0.06133524241611868,5,5,0
scpnre5,49,23.9070616212,0.05358019467457299,26.9041434082,0.04944318617149954,5,5,0
