UBUNTU LOCAL
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scp51,22,3.3820305664,0.10206518661914477,3.5443266112,0.10891826093022523,5,5,0
scp52,22,3.2949174804,0.011584728207286916,3.4586892092,0.0184547135041358,5,5,0
scp53,20,2.97663584,0.015608009255977875,3.137394922,0.016429886876359687,5,5,0
scp54,20,2.9900715332,0.024173602777673962,3.1544585938,0.029692252709732945,5,5,0
scp55,20,2.979072168,0.02448027773379883,3.1429504880000003,0.022443577991203428,5,5,0
scp56,20,2.9832018068,0.009049757178951014,3.1473684572000002,0.013925170459164022,5,5,0
scp57,21,3.1310966793999997,0.028987416943565988,3.2933287598,0.027710919120828417,5,5,0
scp58,22,3.2670021484,0.006719577496471215,3.4292933102,0.0075934592019353065,5,5,0
scp59,22,3.2724770508,0.020679188239193878,3.4339685546000003,0.021633930408172995,5,5,0
scp510,20,2.9860004394,0.02114194368889368,3.1490196288,0.02490580280471419,5,5,0
