UBUNTU LOCAL
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scp41,18,1.6597036622,0.015702099384107302,1.7507125488,0.016128945484474543,5,5,0
scp42,18,1.6564657226,0.011888467155954043,1.7473980956000001,0.011998884850040676,5,5,0
scp43,17,1.5717600586,0.006412325521205998,1.6637077636,0.007214683115534533,5,5,0
scp44,17,1.5669070314,0.008865428393022326,1.6579485840000001,0.009367684073211865,5,5,0
scp45,17,1.5807112304,0.01571440387892879,1.6754329102,0.022915712691873258,5,5,0
scp46,18,1.670023584,0.012831158027501953,1.7607218262,0.013411709886053613,5,5,0
scp47,17,1.5681734376,0.016811994737586523,1.6592935546,0.016282832718825354,5,5,0
scp48,19,1.7399819826,0.005986205856484628,1.830953418,0.0064022958363082125,5,5,0
scp49,17,1.5647680176,0.007170691083744179,1.6586840332,0.007890991760753308,5,5,0
scp410,17,1.5653216796,0.00653809243050808,1.6577441896,0.006447234464232179,5,5,0
