UBUNTU LOCAL - CHOL SOLVER
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scpnre1,47,18.484292968600002,0.13301293320981397,21.4262746094,0.1370821014238477,5,5,0
scpnre2,47,18.493047998,0.10625099115316936,21.4426321292,0.10667119508960198,5,5,0
scpnre3,48,18.9498029298,0.06746606349690154,21.9014677246,0.06490445485438773,5,5,0
scpnre4,48,18.9277793944,0.06175954843766277,21.8919884276,0.06336933174647358,5,5,0
scpnre5,49,19.260637548800002,0.09094742145959082,22.232803955,0.08869822757612994,5,5,0
