UBUNTU LOCAL - QR SOLVER
INST,ITER MEAN,SOLVER TIME MEAN (s),SOLVER TIME STD,TOTAL TIME MEAN (s),TOTAL TIME STD,REP,PASS,FAIL
scpnrg1,38,55.376216211,0.1885140695381719,77.7755396482,0.2246874118119851,5,5,0
scpnrg2,38,55.9469618166,0.09722629190646025,78.6166164062,0.3085052628517948,5,5,0
scpnrg3,39,57.6480533692,0.2833123903901103,80.2076784666,0.29458462682625897,5,5,0
scpnrg4,39,57.7318739258,0.31230712450423886,80.2558007322,0.3405756817001582,5,5,0
scpnrg5,39,57.2647714844,0.23892972372166635,79.799522754,0.2446043072688315,5,5,0
